,batting_team,bowling_team,city_stadium,runs,balls_left,wickets_left,crr,actual,predicted,prob_0,prob_1
5396,Royal Challengers Bangalore,Delhi Capitals,Bangalore - M Chinnaswamy Stadium,68,56,8,6.375,0,1,0.32,0.68
5411,Royal Challengers Bangalore,Delhi Capitals,Bangalore - M Chinnaswamy Stadium,81,119,7,486.0,0,1,0.48,0.52
5522,Kolkata Knight Riders,Rajasthan Royals,Kolkata - Eden Gardens,68,57,8,6.476190476190476,0,1,0.4391666666666667,0.5608333333333333
5699,Kings XI Punjab,Mumbai Indians,Mumbai - Wankhede Stadium,175,3,6,8.974358974358974,1,0,0.5,0.5
5733,Royal Challengers Bangalore,Chennai Super Kings,"Chennai - MA Chidambaram Stadium, Chepauk",22,59,8,2.1639344262295084,1,0,0.66,0.34
5971,Mumbai Indians,Delhi Capitals,Delhi - Arun Jaitley Cricket Stadium,19,57,9,1.8095238095238095,0,1,0.38,0.62
5972,Mumbai Indians,Delhi Capitals,Delhi - Arun Jaitley Cricket Stadium,20,67,9,2.2641509433962264,0,1,0.48,0.52
5978,Mumbai Indians,Delhi Capitals,Delhi - Arun Jaitley Cricket Stadium,38,85,9,6.514285714285714,0,1,0.09,0.91
6012,Mumbai Indians,Delhi Capitals,Delhi - Arun Jaitley Cricket Stadium,78,56,7,7.3125,0,1,0.115,0.885
6013,Mumbai Indians,Delhi Capitals,Delhi - Arun Jaitley Cricket Stadium,82,55,7,7.569230769230769,0,1,0.295,0.705
6023,Mumbai Indians,Delhi Capitals,Delhi - Arun Jaitley Cricket Stadium,95,45,6,7.6,0,1,0.36,0.64
6055,Mumbai Indians,Delhi Capitals,Delhi - Arun Jaitley Cricket Stadium,139,16,6,8.01923076923077,0,1,0.44,0.56
6195,Royal Challengers Bangalore,Sunrisers Hyderabad,Bangalore - M Chinnaswamy Stadium,0,119,10,0.0,1,0,0.705,0.295
6202,Royal Challengers Bangalore,Sunrisers Hyderabad,Bangalore - M Chinnaswamy Stadium,4,112,10,3.0,1,0,0.8975,0.1025
6206,Royal Challengers Bangalore,Sunrisers Hyderabad,Bangalore - M Chinnaswamy Stadium,13,108,9,6.5,1,0,0.7725,0.2275
6207,Royal Challengers Bangalore,Sunrisers Hyderabad,Bangalore - M Chinnaswamy Stadium,13,107,9,6.0,1,0,0.8008333333333333,0.19916666666666663
14348,Kings XI Punjab,Delhi Capitals,Mohali - IS Bindra Stadium,10,71,10,1.2244897959183674,0,1,0.46,0.54
14365,Kings XI Punjab,Delhi Capitals,Mohali - IS Bindra Stadium,38,55,10,3.5076923076923077,0,1,0.2,0.8
