,batting_team,bowling_team,city_stadium,runs,balls_left,wickets_left,crr,actual,predicted,prob_0,prob_1
26566,Chennai Super Kings,Royal Challengers Bangalore,Bangalore - M Chinnaswamy Stadium,102,11,3,5.614678899082568,0,1,0.13,0.87
26572,Chennai Super Kings,Royal Challengers Bangalore,Bangalore - M Chinnaswamy Stadium,117,5,2,6.104347826086956,0,1,0.47,0.53
26608,Kolkata Knight Riders,Mumbai Indians,Kolkata - Eden Gardens,44,90,8,8.8,0,1,0.44766666666666666,0.5523333333333333
26609,Kolkata Knight Riders,Mumbai Indians,Kolkata - Eden Gardens,44,89,8,8.516129032258064,0,1,0.2876666666666667,0.7123333333333334
26652,Kolkata Knight Riders,Mumbai Indians,Kolkata - Eden Gardens,102,46,7,8.27027027027027,0,1,0.07033333333333333,0.9296666666666665
26653,Kolkata Knight Riders,Mumbai Indians,Kolkata - Eden Gardens,102,45,7,8.16,0,1,0.09666666666666666,0.9033333333333333
26657,Kolkata Knight Riders,Mumbai Indians,Kolkata - Eden Gardens,104,41,7,7.89873417721519,0,1,0.27283333333333337,0.7271666666666665
27216,Chennai Super Kings,Mumbai Indians,"Chennai - MA Chidambaram Stadium, Chepauk",22,100,10,6.6,0,1,0.21166666666666667,0.7883333333333333
27362,Kolkata Knight Riders,Delhi Capitals,Kolkata - Eden Gardens,53,52,6,4.6764705882352935,0,1,0.46,0.54
27363,Kolkata Knight Riders,Delhi Capitals,Kolkata - Eden Gardens,54,51,6,4.695652173913044,0,1,0.47,0.53
27399,Kolkata Knight Riders,Delhi Capitals,Kolkata - Eden Gardens,97,88,1,18.1875,0,1,0.24,0.76
27528,Royal Challengers Bangalore,Delhi Capitals,Bangalore - M Chinnaswamy Stadium,0,116,10,0.0,1,0,0.7038333333333334,0.2961666666666667
27777,Rajasthan Royals,Kolkata Knight Riders,Jaipur - Sawai Mansingh Stadium,1,118,10,3.0,1,0,0.79,0.21
27789,Rajasthan Royals,Kolkata Knight Riders,Jaipur - Sawai Mansingh Stadium,11,106,9,4.714285714285714,1,0,0.51,0.49
27790,Rajasthan Royals,Kolkata Knight Riders,Jaipur - Sawai Mansingh Stadium,11,105,9,4.4,1,0,0.53,0.47
27859,Rajasthan Royals,Kolkata Knight Riders,Jaipur - Sawai Mansingh Stadium,104,38,7,7.609756097560976,1,0,0.57,0.43
27871,Rajasthan Royals,Kolkata Knight Riders,Jaipur - Sawai Mansingh Stadium,120,26,7,7.659574468085107,1,0,0.504,0.49599999999999994
27886,Rajasthan Royals,Kolkata Knight Riders,Jaipur - Sawai Mansingh Stadium,147,11,6,8.091743119266054,1,0,0.5666666666666668,0.4333333333333333
28033,Kolkata Knight Riders,Royal Challengers Bangalore,Bangalore - M Chinnaswamy Stadium,13,110,10,7.8,1,0,0.5,0.5
28054,Kolkata Knight Riders,Royal Challengers Bangalore,Bangalore - M Chinnaswamy Stadium,58,89,10,11.225806451612902,1,0,0.5,0.5
28338,Mumbai Indians,Rajasthan Royals,Mumbai - Wankhede Stadium,105,42,5,8.076923076923077,1,0,0.64,0.36
28339,Mumbai Indians,Rajasthan Royals,Mumbai - Wankhede Stadium,109,41,5,8.278481012658228,1,0,0.8,0.2
28653,Sunrisers Hyderabad,Delhi Capitals,Delhi - Arun Jaitley Cricket Stadium,9,109,10,4.909090909090909,0,1,0.25,0.75
28655,Sunrisers Hyderabad,Delhi Capitals,Delhi - Arun Jaitley Cricket Stadium,10,107,10,4.615384615384616,0,1,0.31,0.69
28664,Sunrisers Hyderabad,Delhi Capitals,Delhi - Arun Jaitley Cricket Stadium,18,98,9,4.909090909090909,0,1,0.3,0.7
28733,Sunrisers Hyderabad,Delhi Capitals,Delhi - Arun Jaitley Cricket Stadium,114,33,6,7.862068965517241,0,1,0.25,0.75
28770,Kings XI Punjab,Kolkata Knight Riders,Kolkata - Eden Gardens,2,74,10,0.2608695652173913,1,0,0.7216666666666666,0.2783333333333334
28772,Kings XI Punjab,Kolkata Knight Riders,Kolkata - Eden Gardens,9,76,10,1.2272727272727273,1,0,0.6445000000000001,0.3555
28774,Kings XI Punjab,Kolkata Knight Riders,Kolkata - Eden Gardens,10,70,10,1.2,1,0,0.93,0.07
28779,Kings XI Punjab,Kolkata Knight Riders,Kolkata - Eden Gardens,21,65,10,2.290909090909091,1,0,0.975,0.025
28780,Kings XI Punjab,Kolkata Knight Riders,Kolkata - Eden Gardens,22,64,10,2.357142857142857,1,0,0.885,0.115
28804,Kings XI Punjab,Kolkata Knight Riders,Kolkata - Eden Gardens,46,80,9,6.8999999999999995,1,0,0.63,0.37
28806,Kings XI Punjab,Kolkata Knight Riders,Kolkata - Eden Gardens,47,38,9,3.4390243902439024,1,0,0.79,0.21
28819,Kings XI Punjab,Kolkata Knight Riders,Kolkata - Eden Gardens,67,25,8,4.231578947368421,1,0,0.8236666666666668,0.17633333333333334
28823,Kings XI Punjab,Kolkata Knight Riders,Kolkata - Eden Gardens,69,21,7,4.181818181818182,1,0,0.655,0.345
28838,Kings XI Punjab,Kolkata Knight Riders,Kolkata - Eden Gardens,93,6,4,4.894736842105263,1,0,0.85,0.15
28839,Kings XI Punjab,Kolkata Knight Riders,Kolkata - Eden Gardens,94,5,4,4.904347826086957,1,0,0.88,0.12
28840,Kings XI Punjab,Kolkata Knight Riders,Kolkata - Eden Gardens,94,4,4,4.862068965517242,1,0,0.9,0.1
29013,Mumbai Indians,Delhi Capitals,Mumbai - Wankhede Stadium,4,74,9,0.5217391304347826,0,1,0.2366666666666667,0.7633333333333333
29014,Mumbai Indians,Delhi Capitals,Mumbai - Wankhede Stadium,5,73,9,0.6382978723404256,0,1,0.19666666666666666,0.8033333333333335
29015,Mumbai Indians,Delhi Capitals,Mumbai - Wankhede Stadium,6,76,9,0.8181818181818182,0,1,0.29,0.71
29018,Mumbai Indians,Delhi Capitals,Mumbai - Wankhede Stadium,7,70,9,0.84,0,1,0.3783333333333333,0.6216666666666667
29258,Kings XI Punjab,Kolkata Knight Riders,Mohali - IS Bindra Stadium,2,113,10,1.7142857142857142,0,1,0.027999999999999997,0.972
29749,Mumbai Indians,Kings XI Punjab,Mumbai - Wankhede Stadium,0,109,10,0.0,0,1,0.3,0.7
29751,Mumbai Indians,Kings XI Punjab,Mumbai - Wankhede Stadium,2,111,10,1.3333333333333333,0,1,0.28,0.72
29761,Mumbai Indians,Kings XI Punjab,Mumbai - Wankhede Stadium,16,97,10,4.173913043478261,0,1,0.25,0.75
29772,Mumbai Indians,Kings XI Punjab,Mumbai - Wankhede Stadium,32,86,10,5.647058823529411,0,1,0.01,0.99
29824,Mumbai Indians,Kings XI Punjab,Mumbai - Wankhede Stadium,100,5,6,5.217391304347826,0,1,0.45,0.55
30189,Kings XI Punjab,Mumbai Indians,Mohali - IS Bindra Stadium,111,75,9,14.8,0,1,0.17,0.83
30190,Kings XI Punjab,Mumbai Indians,Mohali - IS Bindra Stadium,111,74,8,14.478260869565217,0,1,0.31,0.69
30206,Kings XI Punjab,Mumbai Indians,Mohali - IS Bindra Stadium,122,59,8,12.0,0,1,0.35,0.65
30228,Kings XI Punjab,Mumbai Indians,Mohali - IS Bindra Stadium,147,38,7,10.75609756097561,0,1,0.11,0.8899999999999999
30501,Kolkata Knight Riders,Royal Challengers Bangalore,Kolkata - Eden Gardens,13,102,10,4.333333333333333,1,0,0.7959999999999999,0.204
30503,Kolkata Knight Riders,Royal Challengers Bangalore,Kolkata - Eden Gardens,17,113,10,14.571428571428571,1,0,0.6,0.4
30504,Kolkata Knight Riders,Royal Challengers Bangalore,Kolkata - Eden Gardens,17,112,10,12.75,1,0,0.66,0.34
30525,Kolkata Knight Riders,Royal Challengers Bangalore,Kolkata - Eden Gardens,40,89,10,7.741935483870967,1,0,0.7825,0.2175
30553,Kolkata Knight Riders,Royal Challengers Bangalore,Kolkata - Eden Gardens,86,61,10,8.745762711864407,1,0,0.5975,0.4025
30554,Kolkata Knight Riders,Royal Challengers Bangalore,Kolkata - Eden Gardens,87,60,10,8.7,1,0,0.5091666666666667,0.4908333333333333
30616,Delhi Capitals,Rajasthan Royals,Delhi - Arun Jaitley Cricket Stadium,4,119,10,24.0,1,0,0.5758333333333332,0.4241666666666667
30625,Delhi Capitals,Rajasthan Royals,Delhi - Arun Jaitley Cricket Stadium,15,118,9,45.0,1,0,0.5873333333333334,0.41266666666666657
30695,Delhi Capitals,Rajasthan Royals,Delhi - Arun Jaitley Cricket Stadium,88,92,4,18.857142857142858,1,0,0.68,0.32
30706,Delhi Capitals,Rajasthan Royals,Delhi - Arun Jaitley Cricket Stadium,107,82,4,16.894736842105264,1,0,0.5322500000000001,0.46775
30728,Delhi Capitals,Rajasthan Royals,Delhi - Arun Jaitley Cricket Stadium,129,61,4,13.118644067796609,1,0,0.68,0.32
30735,Delhi Capitals,Rajasthan Royals,Delhi - Arun Jaitley Cricket Stadium,148,54,4,13.454545454545455,1,0,0.6665000000000001,0.3335
30878,Chennai Super Kings,Kolkata Knight Riders,"Chennai - MA Chidambaram Stadium, Chepauk",30,97,8,7.826086956521739,0,1,0.22,0.78
30880,Chennai Super Kings,Kolkata Knight Riders,"Chennai - MA Chidambaram Stadium, Chepauk",32,95,8,7.68,0,1,0.21,0.79
30881,Chennai Super Kings,Kolkata Knight Riders,"Chennai - MA Chidambaram Stadium, Chepauk",33,94,8,7.615384615384616,0,1,0.08,0.92
30927,Chennai Super Kings,Kolkata Knight Riders,"Chennai - MA Chidambaram Stadium, Chepauk",84,49,7,7.098591549295774,0,1,0.23,0.77
30953,Chennai Super Kings,Kolkata Knight Riders,"Chennai - MA Chidambaram Stadium, Chepauk",106,23,6,6.556701030927835,0,1,0.475,0.525
30959,Chennai Super Kings,Kolkata Knight Riders,"Chennai - MA Chidambaram Stadium, Chepauk",115,17,6,6.699029126213592,0,1,0.3005,0.6995
30966,Chennai Super Kings,Kolkata Knight Riders,"Chennai - MA Chidambaram Stadium, Chepauk",121,10,5,6.6000000000000005,0,1,0.06,0.94
30977,Rajasthan Royals,Delhi Capitals,Jaipur - Sawai Mansingh Stadium,1,0,10,0.05,0,1,0.38,0.62
31723,Delhi Capitals,Kolkata Knight Riders,Delhi - Arun Jaitley Cricket Stadium,0,115,10,0.0,0,1,0.24372222222222228,0.7562777777777778
31737,Delhi Capitals,Kolkata Knight Riders,Delhi - Arun Jaitley Cricket Stadium,34,110,10,20.4,0,1,0.29,0.71
31842,Kings XI Punjab,Sunrisers Hyderabad,Hyderabad,0,118,10,0.0,1,0,0.83,0.17
31844,Kings XI Punjab,Sunrisers Hyderabad,Hyderabad,1,114,10,1.0,1,0,0.95,0.05
31845,Kings XI Punjab,Sunrisers Hyderabad,Hyderabad,5,113,10,4.285714285714286,1,0,0.97,0.03
31913,Kings XI Punjab,Sunrisers Hyderabad,Hyderabad,97,53,8,8.686567164179104,1,0,0.51,0.49
31921,Kings XI Punjab,Sunrisers Hyderabad,Hyderabad,109,45,7,8.72,1,0,0.66,0.34
32544,Sunrisers Hyderabad,Kings XI Punjab,Mohali - IS Bindra Stadium,126,46,7,10.216216216216216,0,1,0.18,0.82
33084,Kolkata Knight Riders,Mumbai Indians,Mumbai - Wankhede Stadium,140,17,3,8.155339805825243,1,0,0.55,0.45
33530,Kings XI Punjab,Delhi Capitals,Dharamsala,71,119,6,426.0,0,1,0.05,0.95
33562,Kings XI Punjab,Delhi Capitals,Dharamsala,123,15,5,7.0285714285714285,0,1,0.4,0.6
33703,Rajasthan Royals,Mumbai Indians,Jaipur - Sawai Mansingh Stadium,5,112,10,3.75,0,1,0.34,0.66
33704,Rajasthan Royals,Mumbai Indians,Jaipur - Sawai Mansingh Stadium,6,111,10,4.0,0,1,0.07,0.93
33814,Rajasthan Royals,Mumbai Indians,Jaipur - Sawai Mansingh Stadium,143,18,5,8.411764705882353,0,1,0.106,0.8939999999999999
33816,Rajasthan Royals,Mumbai Indians,Jaipur - Sawai Mansingh Stadium,145,16,5,8.365384615384617,0,1,0.4585,0.5415
34082,Chennai Super Kings,Delhi Capitals,"Chennai - MA Chidambaram Stadium, Chepauk",11,115,10,13.2,1,0,0.5,0.5
34083,Chennai Super Kings,Delhi Capitals,"Chennai - MA Chidambaram Stadium, Chepauk",12,114,10,12.0,1,0,0.82,0.18
34084,Chennai Super Kings,Delhi Capitals,"Chennai - MA Chidambaram Stadium, Chepauk",12,113,10,10.285714285714285,1,0,0.575,0.425
34202,Chennai Super Kings,Kolkata Knight Riders,"Chennai - MA Chidambaram Stadium, Chepauk",2,117,10,4.0,0,1,0.47766666666666674,0.5223333333333333
34204,Chennai Super Kings,Kolkata Knight Riders,"Chennai - MA Chidambaram Stadium, Chepauk",3,119,10,18.0,0,1,0.37,0.63
34209,Chennai Super Kings,Kolkata Knight Riders,"Chennai - MA Chidambaram Stadium, Chepauk",8,106,10,3.4285714285714284,0,1,0.49,0.51
34226,Chennai Super Kings,Kolkata Knight Riders,"Chennai - MA Chidambaram Stadium, Chepauk",36,89,10,6.967741935483871,0,1,0.34,0.66
34237,Chennai Super Kings,Kolkata Knight Riders,"Chennai - MA Chidambaram Stadium, Chepauk",54,79,10,7.902439024390244,0,1,0.12,0.88
34269,Chennai Super Kings,Kolkata Knight Riders,"Chennai - MA Chidambaram Stadium, Chepauk",94,49,9,7.943661971830985,0,1,0.06,0.94
34311,Chennai Super Kings,Kolkata Knight Riders,"Chennai - MA Chidambaram Stadium, Chepauk",167,18,8,9.823529411764707,0,1,0.23,0.77
34452,Royal Challengers Bangalore,Mumbai Indians,Bangalore - M Chinnaswamy Stadium,0,108,10,0.0,1,0,0.585047619047619,0.414952380952381
34474,Royal Challengers Bangalore,Mumbai Indians,Bangalore - M Chinnaswamy Stadium,23,100,8,6.8999999999999995,1,0,0.72,0.28
34475,Royal Challengers Bangalore,Mumbai Indians,Bangalore - M Chinnaswamy Stadium,23,99,8,6.571428571428571,1,0,0.75,0.25
34477,Royal Challengers Bangalore,Mumbai Indians,Bangalore - M Chinnaswamy Stadium,29,97,8,7.565217391304348,1,0,0.62,0.38
34514,Royal Challengers Bangalore,Mumbai Indians,Bangalore - M Chinnaswamy Stadium,73,87,6,13.272727272727273,1,0,0.77,0.23
34557,Royal Challengers Bangalore,Mumbai Indians,Bangalore - M Chinnaswamy Stadium,120,16,5,6.923076923076923,1,0,0.54,0.46
35137,Mumbai Indians,Delhi Capitals,Mumbai - Wankhede Stadium,125,46,9,10.135135135135135,1,0,0.68,0.32
35185,Mumbai Indians,Delhi Capitals,Mumbai - Wankhede Stadium,189,5,5,9.86086956521739,1,0,0.57,0.43
35313,Kolkata Knight Riders,Royal Challengers Bangalore,Bangalore - M Chinnaswamy Stadium,1,79,10,0.14634146341463417,0,1,0.42,0.58
35315,Kolkata Knight Riders,Royal Challengers Bangalore,Bangalore - M Chinnaswamy Stadium,3,75,10,0.4,0,1,0.09,0.91
35872,Kings XI Punjab,Rajasthan Royals,Jaipur - Sawai Mansingh Stadium,67,57,8,6.380952380952381,0,1,0.36,0.64
35873,Kings XI Punjab,Rajasthan Royals,Jaipur - Sawai Mansingh Stadium,69,56,8,6.46875,0,1,0.4,0.6
35927,Kings XI Punjab,Kolkata Knight Riders,Mohali - IS Bindra Stadium,1,119,10,6.0,1,0,0.5960000000000001,0.40399999999999997
35936,Kings XI Punjab,Kolkata Knight Riders,Mohali - IS Bindra Stadium,5,111,10,3.3333333333333335,1,0,0.7658333333333333,0.23416666666666663
36187,Rajasthan Royals,Mumbai Indians,Jaipur - Sawai Mansingh Stadium,15,107,10,6.923076923076923,1,0,0.82,0.18
36188,Rajasthan Royals,Mumbai Indians,Jaipur - Sawai Mansingh Stadium,15,106,10,6.428571428571428,1,0,0.55,0.45
36284,Rajasthan Royals,Mumbai Indians,Jaipur - Sawai Mansingh Stadium,145,17,7,8.446601941747572,1,0,0.5476666666666666,0.45233333333333337
36288,Rajasthan Royals,Mumbai Indians,Jaipur - Sawai Mansingh Stadium,149,13,7,8.355140186915888,1,0,0.8616666666666666,0.13833333333333334
36289,Rajasthan Royals,Mumbai Indians,Jaipur - Sawai Mansingh Stadium,153,12,7,8.5,1,0,0.61,0.39
36673,Rajasthan Royals,Royal Challengers Bangalore,Bangalore - M Chinnaswamy Stadium,1,115,10,1.2,0,1,0.48666666666666664,0.5133333333333333
36677,Rajasthan Royals,Royal Challengers Bangalore,Bangalore - M Chinnaswamy Stadium,6,111,10,4.0,0,1,0.02,0.98
36844,Mumbai Indians,Delhi Capitals,Delhi - Arun Jaitley Cricket Stadium,91,119,8,546.0,0,1,0.38,0.62
36906,Mumbai Indians,Delhi Capitals,Delhi - Arun Jaitley Cricket Stadium,154,57,6,14.666666666666666,0,1,0.1225,0.8775
36907,Mumbai Indians,Delhi Capitals,Delhi - Arun Jaitley Cricket Stadium,155,56,6,14.53125,0,1,0.15,0.85
36909,Mumbai Indians,Delhi Capitals,Delhi - Arun Jaitley Cricket Stadium,161,54,6,14.636363636363637,0,1,0.28,0.72
37037,Kings XI Punjab,Delhi Capitals,Dharamsala,1,118,10,3.0,1,0,0.5,0.5
37039,Kings XI Punjab,Delhi Capitals,Dharamsala,1,116,10,1.5,1,0,0.56,0.44
37045,Kings XI Punjab,Delhi Capitals,Dharamsala,11,107,10,5.0769230769230775,1,0,0.94,0.06
37342,Sunrisers Hyderabad,Chennai Super Kings,"Chennai - MA Chidambaram Stadium, Chepauk",99,113,7,84.85714285714285,0,1,0.05,0.95
37343,Sunrisers Hyderabad,Chennai Super Kings,"Chennai - MA Chidambaram Stadium, Chepauk",99,112,7,74.25,0,1,0.11,0.89
37891,Chennai Super Kings,Kolkata Knight Riders,"Chennai - MA Chidambaram Stadium, Chepauk",187,7,8,9.929203539823009,1,0,0.8,0.2
37892,Chennai Super Kings,Kolkata Knight Riders,"Chennai - MA Chidambaram Stadium, Chepauk",188,6,8,9.894736842105264,1,0,0.56,0.44
38030,Mumbai Indians,Kings XI Punjab,Mumbai - Wankhede Stadium,5,105,10,2.0,1,0,0.7,0.3
38222,Mumbai Indians,Sunrisers Hyderabad,Hyderabad,77,2,8,3.9152542372881354,0,1,0.39,0.61
38764,Royal Challengers Bangalore,Kings XI Punjab,Bangalore - M Chinnaswamy Stadium,4,3,10,0.20512820512820512,0,1,0.23,0.77
38768,Royal Challengers Bangalore,Kings XI Punjab,Bangalore - M Chinnaswamy Stadium,8,10,9,0.4363636363636364,0,1,0.26,0.74
38777,Royal Challengers Bangalore,Kings XI Punjab,Bangalore - M Chinnaswamy Stadium,27,118,6,81.0,0,1,0.15833333333333333,0.8416666666666667
38779,Royal Challengers Bangalore,Kings XI Punjab,Bangalore - M Chinnaswamy Stadium,29,116,6,43.5,0,1,0.4366666666666667,0.5633333333333332
38785,Royal Challengers Bangalore,Kings XI Punjab,Bangalore - M Chinnaswamy Stadium,34,110,6,20.4,0,1,0.45,0.55
38786,Royal Challengers Bangalore,Kings XI Punjab,Bangalore - M Chinnaswamy Stadium,35,109,6,19.09090909090909,0,1,0.37,0.63
38805,Royal Challengers Bangalore,Kings XI Punjab,Bangalore - M Chinnaswamy Stadium,49,90,5,9.8,0,1,0.45416666666666666,0.5458333333333333
38806,Royal Challengers Bangalore,Kings XI Punjab,Bangalore - M Chinnaswamy Stadium,49,89,5,9.483870967741934,0,1,0.15583333333333335,0.8441666666666666
38807,Royal Challengers Bangalore,Kings XI Punjab,Bangalore - M Chinnaswamy Stadium,49,88,5,9.1875,0,1,0.10666666666666666,0.8933333333333333
38848,Royal Challengers Bangalore,Kings XI Punjab,Bangalore - M Chinnaswamy Stadium,92,47,5,7.561643835616438,0,1,0.42,0.58
39013,Mumbai Indians,Chennai Super Kings,Mumbai - Wankhede Stadium,139,6,5,7.315789473684211,1,0,0.89,0.11
39404,Chennai Super Kings,Sunrisers Hyderabad,Hyderabad,12,106,10,5.142857142857142,1,0,0.7433333333333333,0.25666666666666665
39420,Chennai Super Kings,Sunrisers Hyderabad,Hyderabad,44,90,10,8.8,1,0,0.555,0.44499999999999995
39451,Chennai Super Kings,Sunrisers Hyderabad,Hyderabad,91,60,9,9.1,1,0,0.59,0.41
39467,Chennai Super Kings,Sunrisers Hyderabad,Hyderabad,114,44,9,9.0,1,0,0.51,0.49
39553,Kings XI Punjab,Rajasthan Royals,Mohali - IS Bindra Stadium,50,82,10,7.894736842105264,0,1,0.05,0.95
39613,Kings XI Punjab,Rajasthan Royals,Mohali - IS Bindra Stadium,117,103,7,41.29411764705882,0,1,0.41,0.59
39617,Kings XI Punjab,Rajasthan Royals,Mohali - IS Bindra Stadium,121,99,7,34.57142857142857,0,1,0.38,0.62
39825,Sunrisers Hyderabad,Kings XI Punjab,Mohali - IS Bindra Stadium,71,57,4,6.761904761904762,1,0,0.616,0.384
39830,Sunrisers Hyderabad,Kings XI Punjab,Mohali - IS Bindra Stadium,77,52,4,6.794117647058823,1,0,0.88,0.12
39833,Sunrisers Hyderabad,Kings XI Punjab,Mohali - IS Bindra Stadium,81,49,4,6.845070422535211,1,0,0.6433333333333334,0.3566666666666667
40146,Delhi Capitals,Kings XI Punjab,Delhi - Arun Jaitley Cricket Stadium,12,59,10,1.180327868852459,0,1,0.22,0.78
40147,Delhi Capitals,Kings XI Punjab,Delhi - Arun Jaitley Cricket Stadium,12,58,10,1.161290322580645,0,1,0.26,0.74
40504,Mumbai Indians,Rajasthan Royals,Mumbai - Wankhede Stadium,1,113,10,0.8571428571428571,1,0,0.84,0.16
40566,Mumbai Indians,Rajasthan Royals,Mumbai - Wankhede Stadium,89,58,9,8.612903225806452,1,0,0.55,0.45
40584,Mumbai Indians,Rajasthan Royals,Mumbai - Wankhede Stadium,111,40,7,8.325,1,0,0.66,0.34
40619,Mumbai Indians,Rajasthan Royals,Mumbai - Wankhede Stadium,156,7,4,8.283185840707965,1,0,0.6633333333333333,0.33666666666666667
40626,Mumbai Indians,Rajasthan Royals,Mumbai - Wankhede Stadium,166,0,2,8.3,1,0,0.77,0.23
40692,Royal Challengers Bangalore,Kings XI Punjab,Mohali - IS Bindra Stadium,81,15,7,4.628571428571429,0,1,0.15,0.85
40723,Royal Challengers Bangalore,Kings XI Punjab,Mohali - IS Bindra Stadium,137,100,7,41.1,0,1,0.4,0.6
40724,Royal Challengers Bangalore,Kings XI Punjab,Mohali - IS Bindra Stadium,138,99,7,39.42857142857143,0,1,0.27,0.73
40757,Sunrisers Hyderabad,Rajasthan Royals,Hyderabad,7,67,8,0.7924528301886792,1,0,0.53,0.47
40801,Sunrisers Hyderabad,Rajasthan Royals,Hyderabad,72,24,7,4.5,1,0,0.54,0.46
40847,Sunrisers Hyderabad,Rajasthan Royals,Hyderabad,109,97,1,28.434782608695652,1,0,0.71,0.29
41053,Kolkata Knight Riders,Sunrisers Hyderabad,Hyderabad,5,115,10,6.0,0,1,0.42,0.58
41054,Kolkata Knight Riders,Sunrisers Hyderabad,Hyderabad,5,114,10,5.0,0,1,0.36,0.64
41686,Kolkata Knight Riders,Mumbai Indians,Abu Dhabi - Sheikh Zayed Stadium,14,0,9,0.7,1,0,0.72,0.28
42648,Kings XI Punjab,Mumbai Indians,Mumbai - Wankhede Stadium,42,110,8,25.2,0,1,0.46,0.54
42712,Kings XI Punjab,Mumbai Indians,Mumbai - Wankhede Stadium,142,53,6,12.716417910447761,0,1,0.49,0.51
42714,Kings XI Punjab,Mumbai Indians,Mumbai - Wankhede Stadium,149,51,6,12.956521739130435,0,1,0.05,0.95
42802,Delhi Capitals,Rajasthan Royals,Delhi - Arun Jaitley Cricket Stadium,109,79,7,15.951219512195122,0,1,0.4175,0.5825
42809,Delhi Capitals,Rajasthan Royals,Delhi - Arun Jaitley Cricket Stadium,117,72,7,14.625,0,1,0.49,0.51
42820,Delhi Capitals,Rajasthan Royals,Delhi - Arun Jaitley Cricket Stadium,131,61,6,13.322033898305085,0,1,0.34,0.66
43370,Delhi Capitals,Kolkata Knight Riders,Delhi - Arun Jaitley Cricket Stadium,18,109,9,9.818181818181818,0,1,0.37,0.63
43600,Sunrisers Hyderabad,Rajasthan Royals,"Ahmedabad - Sardar Patel Stadium, Motera",0,117,10,0.0,1,0,0.6675,0.3325
43744,Kings XI Punjab,Royal Challengers Bangalore,Bangalore - M Chinnaswamy Stadium,31,94,10,7.153846153846154,1,0,0.6,0.4
43746,Kings XI Punjab,Royal Challengers Bangalore,Bangalore - M Chinnaswamy Stadium,36,92,10,7.7142857142857135,1,0,0.52,0.48
44045,Mumbai Indians,Chennai Super Kings,Mumbai - Wankhede Stadium,83,46,6,6.72972972972973,0,1,0.39,0.61
44061,Mumbai Indians,Chennai Super Kings,Mumbai - Wankhede Stadium,95,110,6,57.0,0,1,0.23,0.77
44069,Mumbai Indians,Chennai Super Kings,Mumbai - Wankhede Stadium,103,102,5,34.333333333333336,0,1,0.44,0.56
44601,Royal Challengers Bangalore,Delhi Capitals,Bangalore - M Chinnaswamy Stadium,2,110,10,1.2,1,0,0.6,0.4
44602,Royal Challengers Bangalore,Delhi Capitals,Bangalore - M Chinnaswamy Stadium,3,109,10,1.6363636363636365,1,0,0.6,0.4
44614,Royal Challengers Bangalore,Delhi Capitals,Bangalore - M Chinnaswamy Stadium,24,97,10,6.260869565217391,1,0,0.75,0.25
44617,Royal Challengers Bangalore,Delhi Capitals,Bangalore - M Chinnaswamy Stadium,28,94,10,6.461538461538462,1,0,0.517,0.483
44622,Royal Challengers Bangalore,Delhi Capitals,Bangalore - M Chinnaswamy Stadium,33,89,10,6.387096774193548,1,0,0.6025,0.3975
44623,Royal Challengers Bangalore,Delhi Capitals,Bangalore - M Chinnaswamy Stadium,33,88,10,6.1875,1,0,0.5325,0.4675
44789,Sunrisers Hyderabad,Kings XI Punjab,Hyderabad,113,48,8,9.416666666666666,0,1,0.4025000000000001,0.5975
44792,Sunrisers Hyderabad,Kings XI Punjab,Hyderabad,115,46,8,9.324324324324325,0,1,0.11333333333333334,0.8866666666666667
44832,Sunrisers Hyderabad,Kings XI Punjab,Hyderabad,169,10,7,9.218181818181819,0,1,0.31,0.69
44833,Sunrisers Hyderabad,Kings XI Punjab,Hyderabad,173,9,7,9.35135135135135,0,1,0.27,0.73
44834,Sunrisers Hyderabad,Kings XI Punjab,Hyderabad,180,8,7,9.642857142857142,0,1,0.42,0.58
44837,Sunrisers Hyderabad,Kings XI Punjab,Hyderabad,187,5,6,9.756521739130434,0,1,0.15,0.85
44838,Sunrisers Hyderabad,Kings XI Punjab,Hyderabad,193,4,6,9.982758620689657,0,1,0.26,0.74
45235,Sunrisers Hyderabad,Kolkata Knight Riders,Hyderabad,32,60,9,3.2,0,1,0.21,0.79
45508,Delhi Capitals,Kings XI Punjab,Delhi - Arun Jaitley Cricket Stadium,57,39,10,4.222222222222222,0,1,0.4093333333333334,0.5906666666666667
45532,Delhi Capitals,Kings XI Punjab,Delhi - Arun Jaitley Cricket Stadium,94,55,9,8.676923076923076,0,1,0.44,0.56
45542,Delhi Capitals,Kings XI Punjab,Delhi - Arun Jaitley Cricket Stadium,107,45,9,8.56,0,1,0.35,0.65
45564,Delhi Capitals,Kings XI Punjab,Delhi - Arun Jaitley Cricket Stadium,127,100,8,38.1,0,1,0.49,0.51
45566,Delhi Capitals,Kings XI Punjab,Delhi - Arun Jaitley Cricket Stadium,133,100,8,39.9,0,1,0.41,0.59
45569,Delhi Capitals,Kings XI Punjab,Delhi - Arun Jaitley Cricket Stadium,137,22,8,8.387755102040817,0,1,0.33,0.67
45891,Kings XI Punjab,Mumbai Indians,Mohali - IS Bindra Stadium,74,25,9,4.673684210526315,0,1,0.42,0.58
45981,Kolkata Knight Riders,Royal Challengers Bangalore,Kolkata - Eden Gardens,35,94,8,8.076923076923077,1,0,0.7653333333333333,0.2346666666666667
